# Final state angular momentum:   1
# Broadening parameter (in eV):    0.800
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
  -10.00000000    0.00006017
   -9.88988989    0.00006084
   -9.77977978    0.00006152
   -9.66966967    0.00006221
   -9.55955956    0.00006292
   -9.44944945    0.00006364
   -9.33933934    0.00006438
   -9.22922923    0.00006512
   -9.11911912    0.00006588
   -9.00900901    0.00006666
   -8.89889890    0.00006745
   -8.78878879    0.00006826
   -8.67867868    0.00006908
   -8.56856857    0.00006991
   -8.45845846    0.00007077
   -8.34834835    0.00007164
   -8.23823824    0.00007253
   -8.12812813    0.00007343
   -8.01801802    0.00007435
   -7.90790791    0.00007530
   -7.79779780    0.00007626
   -7.68768769    0.00007724
   -7.57757758    0.00007824
   -7.46746747    0.00007926
   -7.35735736    0.00008031
   -7.24724725    0.00008137
   -7.13713714    0.00008246
   -7.02702703    0.00008358
   -6.91691692    0.00008471
   -6.80680681    0.00008588
   -6.69669670    0.00008707
   -6.58658659    0.00008828
   -6.47647648    0.00008952
   -6.36636637    0.00009080
   -6.25625626    0.00009210
   -6.14614615    0.00009343
   -6.03603604    0.00009479
   -5.92592593    0.00009619
   -5.81581582    0.00009761
   -5.70570571    0.00009908
   -5.59559560    0.00010058
   -5.48548549    0.00010211
   -5.37537538    0.00010368
   -5.26526527    0.00010530
   -5.15515516    0.00010695
   -5.04504505    0.00010865
   -4.93493493    0.00011039
   -4.82482482    0.00011218
   -4.71471471    0.00011401
   -4.60460460    0.00011590
   -4.49449449    0.00011783
   -4.38438438    0.00011982
   -4.27427427    0.00012186
   -4.16416416    0.00012396
   -4.05405405    0.00012612
   -3.94394394    0.00012834
   -3.83383383    0.00013062
   -3.72372372    0.00013298
   -3.61361361    0.00013540
   -3.50350350    0.00013789
   -3.39339339    0.00014046
   -3.28328328    0.00014311
   -3.17317317    0.00014585
   -3.06306306    0.00014866
   -2.95295295    0.00015157
   -2.84284284    0.00015458
   -2.73273273    0.00015768
   -2.62262262    0.00016088
   -2.51251251    0.00016419
   -2.40240240    0.00016762
   -2.29229229    0.00017117
   -2.18218218    0.00017484
   -2.07207207    0.00017864
   -1.96196196    0.00018257
   -1.85185185    0.00018666
   -1.74174174    0.00019089
   -1.63163163    0.00019529
   -1.52152152    0.00019985
   -1.41141141    0.00020460
   -1.30130130    0.00020953
   -1.19119119    0.00021466
   -1.08108108    0.00022001
   -0.97097097    0.00022557
   -0.86086086    0.00023138
   -0.75075075    0.00023743
   -0.64064064    0.00024375
   -0.53053053    0.00025036
   -0.42042042    0.00025727
   -0.31031031    0.00026450
   -0.20020020    0.00027208
   -0.09009009    0.00028001
    0.02002002    0.00028827
    0.13013013    0.00029713
    0.24024024    0.00030635
    0.35035035    0.00031606
    0.46046046    0.00032629
    0.57057057    0.00033709
    0.68068068    0.00034851
    0.79079079    0.00036059
    0.90090090    0.00037339
    1.01101101    0.00038698
    1.12112112    0.00040143
    1.23123123    0.00041681
    1.34134134    0.00043322
    1.45145145    0.00045076
    1.56156156    0.00046955
    1.67167167    0.00048971
    1.78178178    0.00051140
    1.89189189    0.00053479
    2.00200200    0.00056008
    2.11211211    0.00058750
    2.22222222    0.00061732
    2.33233233    0.00064983
    2.44244244    0.00068541
    2.55255255    0.00072445
    2.66266266    0.00076741
    2.77277277    0.00081481
    2.88288288    0.00086716
    2.99299299    0.00092503
    3.10310310    0.00098889
    3.21321321    0.00105919
    3.32332332    0.00113630
    3.43343343    0.00122063
    3.54354354    0.00131284
    3.65365365    0.00141400
    3.76376376    0.00152551
    3.87387387    0.00164887
    3.98398398    0.00178550
    4.09409409    0.00193691
    4.20420420    0.00210523
    4.31431431    0.00229397
    4.42442442    0.00250815
    4.53453453    0.00275377
    4.64464464    0.00303669
